data_source,data_collection_date,url,other_metadata,S.no,tender_published_Date,tender_closing_date,tender_opening_date,tender_tile_and_id,tender_origanisation
China Procurement Sources,2023-02-07,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,1,07-Feb-2023 04:00 PM,13-Feb-2023 03:00 PM,15-Feb-2023 02:30 PM,"[Comprehensive Maintenance,Monitoring and General Maintenance of different Electro Mechanical Services in RSU Bogda TE Bldg. Dist West Medinipur under BSNL Electrical Division, Kharagpur in Kharagpur OA. ( 5th Call )]
																				[07/BSNL/ED-KGP/2022-23,Dated 21.06.2022 (5th Call)][2023_BSNL_144487_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
China Procurement Sources,2023-02-07,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,2,07-Feb-2023 04:00 PM,13-Feb-2023 02:30 PM,13-Feb-2023 03:00 PM,"[Supply of Standard Tools kit as per Annexure A-2]
																				[910/0157/2023][2023_CEL_144324_1]",Central Electronics Limited
China Procurement Sources,2023-02-07,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,3,07-Feb-2023 04:00 PM,21-Feb-2023 03:00 PM,22-Feb-2023 03:00 PM,"[OPEN TENDER ENQUIRY FOR SUPPLY AND INSTALLATION OF CCTV CAMERAS AT HBL LAURIYA PLANT, WEST CHAMPARAN, BIHAR 845453.]
																				[HBL/TEN/PUB/22-23/304][2023_HPCLB_144486_1]",HPCL Biofuels Limited||Purchase (Patna)
China Procurement Sources,2023-02-07,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,4,07-Feb-2023 04:00 PM,03-Mar-2023 03:00 PM,04-Mar-2023 03:00 PM,"[Load cell]
																				[1/PE230081/1][2023_UCIL_144489_1]",Uranium Corporation of India Limited||Purchase Department-Tummalapalle - UCIL||Purchase Department-Tummalapalle - UCIL
China Procurement Sources,2023-02-07,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,5,07-Feb-2023 03:45 PM,14-Feb-2023 02:00 PM,15-Feb-2023 02:00 PM,"[De-Silting of 1. jagatpuri drain from Old Anarkali to Disuse Canal. 2. Hari Singh Gurudwara drain from Bala Sweets Ram Nagar to Jagatpuri drain old Anarkali in Ward No. 22E,Anarkali,AC-60,Shah(S) Zone]
																				[EE M-I Shah S/2022-23/19.1][2023_MCD_144435_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
China Procurement Sources,2023-02-07,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,6,07-Feb-2023 03:30 PM,28-Feb-2023 03:00 PM,01-Mar-2023 04:00 PM,"[Tender for Rate Contract for a period of 2 years for hiring of Project Management Consultant services for steel pipeline laying and associated works for CGD Network of Pune GA]
																				[MNGL/CP/2022-23/197][2023_MNGL_144481_1]",Maharashtra Natural Gas Ltd.||Corporate Office  Pune||Contracts and Procurement
China Procurement Sources,2023-02-07,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,7,07-Feb-2023 03:30 PM,13-Feb-2023 03:00 PM,15-Feb-2023 02:30 PM,"[Comprehensive Maintenance of Window, Split AC units, AFD System and Operation, monitoring and General Maintenance of different Electro-Mechanical Services in Bankura TE and adjacent CSC Bldg., Bankura.( 4th Call)]
																				[25/BSNL/ED-KGP/2022-23, Dated16.11.2022 (4th Call)][2023_BSNL_144473_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
China Procurement Sources,2023-02-07,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,8,07-Feb-2023 03:15 PM,14-Feb-2023 03:00 PM,14-Feb-2023 03:00 PM,"[Supply of Anodized Aluminium Channel Size 875MM, 660MM and Aluminium Channel Corner Size 22.3MM]
																				[EnquiryNo.0700/8351/2023][2023_CEL_144475_1]",Central Electronics Limited
China Procurement Sources,2023-02-07,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,9,07-Feb-2023 03:05 PM,14-Feb-2023 03:30 PM,15-Feb-2023 03:30 PM,"[Installation of Shade Net house at Saket Nursery in Ward No.154 South Zone]
																				[ DDH/SZ/ MCD/2022-23/3410/ NIT No.01 ][2023_MCD_144443_2]",Municipal Corporation of Delhi||Horticulture Department - MCD
